species,family_clean,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Abroscopus_albogularis,Scotocercidae_(Bush_Warblers_and_Allies),4.84,9.0,2.7,2.3,13.3,Oscines
Abroscopus_superciliaris,Scotocercidae_(Bush_Warblers_and_Allies),6.48,12.3,3.1,2.8,12.7,Oscines
