gen,family,species,sub_species,common_name,recordist,date,time,country,location,lat,lng,bird,file_name,weights,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,UMAP 1,UMAP 2,UMAP3D 1,UMAP3D 2,UMAP3D 3,gmm_cluster,gmm_prob_0,gmm_prob_1,gmm_prob_2,gmm_prob_3,gmm_prob_4,gmm_prob_5,gmm_prob_6,gmm_prob_7
Sipia,Thamnophilidae (Typical Antbirds),Sipia_palliata,,Magdalena Antbird,Bram Vogels,2021-12-11,08:00,Colombia,"San Francisco, Antioquia",5.8938,-74.8565,694258,Sipia_palliata_694258_seg11.wav,0.0357142857142857,258.2894,4.1356616,10.678957,-12.4686775,0.2228582,6.9804683,-8.272039,1.1073344,-3.0615983,-1.8756944,10.211349,-0.38992062,-4.4665895,3.6720865,2.8087492,-5.138147,-0.4690401,-7.92621,6.875708,0.6871501,-2.9368248,-5.38052,1.4512341,-2.5125227,-1.4125592,-2.9164066,-2.4873288,3.553985,0.887318,-1.810356,1.6149981,2.645721,-4.03222,-3.439949,2.1489778,-3.1467285,1.726136,2.5990224,10.784107,-1.033823,12.294483,13.73353,1,5.646450173776488e-06,0.94724070763352,5.6113359442459e-09,3.379190310059216e-13,0.000327607090451,0.0517221342475356,8.404144278380168e-05,0.0006198575238638
Eurillas,Pycnonotidae (Bulbuls),Eurillas_virens,erythroptera,Little Greenbul,Étienne Leroy,2020-01-10,12:00,Ivory Coast,"Forêt classée du Mont Tonkoui, Man, Montagnes District",7.4498,-7.6382,533334,Eurillas_virens_533334_seg10.wav,0.0106382978723404,240.89398,17.714851,13.764028,4.7577333,3.5460615,0.32588595,-10.30748,-0.44384563,-0.28981787,-1.9448419,2.3637578,-4.0220814,-0.043547645,4.754416,1.7548201,-1.322644,0.06721456,-1.5970231,-3.3112774,-1.0536243,-1.9139515,-4.145684,-4.2046714,-1.0322253,0.97294956,-0.35890377,-0.3315567,-1.225664,-0.33607975,2.0521624,3.3672323,-0.84299016,2.4158583,1.4790554,1.1540737,2.9247475,-1.6897128,-0.050823104,10.126236,-1.9656183,12.023155,11.762028,1,1.7946896818104723e-09,0.6068600572433082,0.0016089152630184,0.3906357897485414,2.5928945268647045e-05,0.0003727385004714,0.0004652811162703,3.128738843209795e-05
